stock,data_points,rmse,mae,error_pct,current_price,predicted_price,change,change_pct
ITC,1239,8.541935682718501,6.246915289696213,2.07595798673181,350.04998779296875,401.57343,51.5234375,14.718879959073924
HCLTECH,1239,65.45628887661618,51.04025073761634,4.220267896928904,1640.199951171875,1694.3047,54.104736328125,3.2986671100355016
BRITANNIA,1238,133.0492312938394,112.39043799867021,2.327338153755123,5984.5,6109.9673,125.46728515625,2.096537474413067
SUNPHARMA,1239,44.42470502127497,34.92020562354554,2.6241745141376724,1728.0,1760.5237,32.523681640625,1.8821575023509836
WIPRO,1239,7.73674069274405,6.132129101043052,3.105158587825192,269.0,273.05545,4.055450439453125,1.5076023938487453
DRREDDY,1239,29.671765434522722,23.184660566614028,2.3762618025770474,1256.0999755859375,1271.9584,15.8583984375,1.2625108467263901
POWERGRID,1239,9.302710159460403,8.014169895902597,3.291080859100839,270.95001220703125,271.8695,0.91949462890625,0.33935950820466093
ASIANPAINT,1239,72.32438050332208,57.47518985829455,2.9039354359216554,2772.60009765625,2778.5532,5.953125,0.21471271695591185
TCS,1239,73.70932181006494,54.767333984375,2.303042212641082,3250.699951171875,3254.8015,4.1015625,0.12617474887282012
NESTLEIND,1239,27.805916826535494,20.66972967918884,2.306786652753939,1279.699951171875,1280.3649,0.6649169921875,0.05195881984512132
TATACONSUM,1239,28.425210510991647,21.69666598705535,2.532490839445265,1170.699951171875,1168.408,-2.2919921875,-0.1957796432130801
HDFCBANK,1239,13.157483312095284,9.837173137258976,1.348625667329983,1001.5999755859376,998.366,-3.2339477539063637,-0.32287817818830306
ULTRACEMCO,1239,224.63546128073835,178.64003802360372,1.88087614897814,11899.0,11807.184,-91.81640625,-0.7716312820405076
INFY,1239,36.74491622713771,29.304159610829455,2.4279378170209567,1640.4000244140625,1624.3438,-16.0562744140625,-0.9788023759508093
HINDUNILVR,1239,48.224068688684625,37.499766248337764,1.9986507798161697,2348.0,2319.4238,-28.576171875,-1.2170430951873934
VEDL,1239,20.005703995901342,14.279285836727047,4.364657945494751,616.9500122070312,608.79407,-8.15594482421875,-1.3219782256008517
LT,1239,92.20701841377237,66.86274621841753,2.5023567639454978,4163.39990234375,4089.5352,-73.86474609375,-1.7741448774154143
IOC,1239,3.323670923796286,2.638958180204351,2.3029296628341687,166.7899932861328,163.76659,-3.023406982421875,-1.812702862356459
ICICIBANK,1239,33.98431189596843,26.802936310463764,2.4292866540132203,1355.4000244140625,1330.4321,-24.9678955078125,-1.8421052868584746
KOTAKBANK,1239,55.70769152548441,45.08342986411237,2.6497235254093017,2195.10009765625,2148.924,-46.176025390625,-2.103595432387253
APOLLOHOSP,1239,211.29701632899716,159.8528689120677,2.881079055781038,7129.5,6971.722,-157.77783203125,-2.2130280108177294
BHARTIARTL,1239,59.0301906409441,47.065473191281555,3.0318153326246744,2106.300048828125,2058.7332,-47.56689453125,-2.2583152176117847
DIVISLAB,1239,243.267751976234,200.51821444896942,3.834309661509208,6392.5,6244.7065,-147.79345703125,-2.3119821201603443
