Date,Open,High,Low,Close,Volume
2021-01-04 00:00:00+05:30,2618.4599999518755,2628.5147779547456,2555.5647926908205,2561.1181640625,1599835
2021-01-05 00:00:00+05:30,2567.975297476744,2586.7808343959587,2550.305742677592,2580.7646484375,1150326
2021-01-06 00:00:00+05:30,2592.6288059016856,2628.220381971843,2562.92708195684,2594.52197265625,1370394
2021-01-07 00:00:00+05:30,2603.3142504768944,2620.7734523829695,2552.829811230413,2570.709716796875,880259
2021-01-08 00:00:00+05:30,2583.120654785893,2663.85365175585,2577.3150260366597,2659.77294921875,1576465
2021-01-11 00:00:00+05:30,2659.6889907059817,2713.4548454262786,2647.951397680761,2690.568603515625,1596027
2021-01-12 00:00:00+05:30,2684.089821652765,2772.4376057510535,2676.0543392528098,2733.101806640625,1586336
2021-01-13 00:00:00+05:30,2742.988116885546,2791.7897459589694,2706.555135475696,2740.295654296875,1424073
2021-01-14 00:00:00+05:30,2747.1956579352727,2772.4378845012934,2724.519765487817,2748.5419921875,803208
2021-01-15 00:00:00+05:30,2734.5739788016117,2752.117404803536,2670.627018066559,2695.02783203125,1199320
2021-01-18 00:00:00+05:30,2692.50399536533,2707.2707380492625,2593.4282624108714,2661.498046875,1280163
2021-01-19 00:00:00+05:30,2667.6820535528054,2726.790921006546,2667.6820535528054,2720.185791015625,770832
2021-01-20 00:00:00+05:30,2725.31866372887,2770.333961200156,2717.9984601776996,2756.1142578125,841752
2021-01-21 00:00:00+05:30,2756.1143624741285,2815.34936558248,2709.079562133198,2732.302490234375,1300181
2021-01-22 00:00:00+05:30,2747.1951797615525,2931.421290165351,2742.062512417808,2839.665771484375,3813020
2021-01-25 00:00:00+05:30,2875.8888908043496,2961.880701221343,2824.6472532428015,2923.84912109375,2266967
2021-01-27 00:00:00+05:30,2902.85585391936,2931.4637087116084,2801.844843193555,2825.9091796875,1333633
2021-01-28 00:00:00+05:30,2809.417190775238,2914.7194498994995,2797.8057275972214,2858.597412109375,1986409
2021-01-29 00:00:00+05:30,2877.5292836730305,2932.304991361859,2714.716940537157,2739.664794921875,1718833
2021-02-01 00:00:00+05:30,2776.6442851294228,2827.8018936488784,2707.0178261614046,2810.847412109375,1285163
2021-02-02 00:00:00+05:30,2860.7852880419755,2860.7852880419755,2743.8296542073185,2771.469970703125,1751516
2021-02-03 00:00:00+05:30,2773.7415548002487,2879.29607011446,2749.7193328854632,2844.630126953125,1077971
2021-02-04 00:00:00+05:30,2895.283225054631,2957.54738043215,2864.2353702850837,2895.03076171875,2425660
2021-02-05 00:00:00+05:30,2944.926182914812,2995.41063176478,2832.1775804832164,2885.3544921875,2719249
2021-02-08 00:00:00+05:30,2926.4155536089506,2950.7321504222136,2873.7433571055894,2940.719482421875,1004959
2021-02-09 00:00:00+05:30,2912.1110607714786,2976.8994316698904,2908.1985984638386,2944.463134765625,1543021
2021-02-10 00:00:00+05:30,2936.5118785855425,3002.7727125221077,2932.5151933639722,2977.69873046875,1477082
2021-02-11 00:00:00+05:30,2965.1200949897643,2990.3623205430254,2922.6711267687147,2979.8447265625,757116
2021-02-12 00:00:00+05:30,2975.174611948822,3012.238650959077,2947.3660548269886,2958.17822265625,566161
2021-02-15 00:00:00+05:30,2995.265090714056,3010.0312564739856,2963.5435411367876,2975.04736328125,809861
2021-02-16 00:00:00+05:30,2978.9969636440615,2992.1320642211767,2946.3739421401783,2971.74267578125,759332
2021-02-17 00:00:00+05:30,2973.3736837235047,3086.3094728333613,2968.051022240094,3076.865966796875,1946207
2021-02-18 00:00:00+05:30,3073.131562468247,3115.541617499687,3009.9030776610903,3024.368896484375,1701157
2021-02-19 00:00:00+05:30,3024.36905600353,3024.36905600353,2893.1471496651843,2910.0595703125,995322
2021-02-22 00:00:00+05:30,2918.9021047659107,2947.189658244593,2876.105765068377,2931.0498046875,921345
2021-02-23 00:00:00+05:30,2931.049723807525,2987.1957885009374,2899.1994774766235,2923.580810546875,1069537
2021-02-24 00:00:00+05:30,2953.2420378704546,3004.752073414707,2876.9214190436696,2954.61572265625,823330
2021-02-25 00:00:00+05:30,2961.82677389026,2970.411779031971,2920.8333743385906,2948.43408203125,897962
2021-02-26 00:00:00+05:30,2923.194257485364,2939.205208273591,2747.029993490679,2767.8056640625,1880371
2021-03-01 00:00:00+05:30,2794.419228854621,2887.1802531630674,2790.12672619893,2876.1484375,1176879
2021-03-02 00:00:00+05:30,2877.6940623767937,2996.1671472837143,2877.2648120691597,2984.491455078125,1402320
2021-03-03 00:00:00+05:30,3013.336633362655,3014.10919994353,2913.7505793825785,2939.80615234375,965062
2021-03-04 00:00:00+05:30,2917.1847948550603,2970.4118276040344,2891.644404140835,2935.943115234375,934953
2021-03-05 00:00:00+05:30,2931.7796446225902,2997.4549426646486,2913.7511314345743,2971.87158203125,1017875
2021-03-08 00:00:00+05:30,2971.8283853049193,2995.73770978407,2938.389830348669,2973.802978515625,749107
2021-03-09 00:00:00+05:30,2974.747511389451,2996.1670591916322,2933.0672658247026,2960.83984375,564852
2021-03-10 00:00:00+05:30,2960.9683732817125,2983.289387403291,2925.6411597695424,2935.513916015625,787897
