Date,Open,High,Low,Close,Volume
2021-01-04 00:00:00+05:30,23650.510917467054,23733.78736435954,23378.14794998338,23546.85546875,39942
2021-01-05 00:00:00+05:30,23708.312674670047,23708.312674670047,23220.460458701094,23410.966796875,47363
2021-01-06 00:00:00+05:30,23595.643101487978,24441.536120540994,23366.387974194,24320.98046875,73142
2021-01-07 00:00:00+05:30,24213.84800807368,24689.01354656916,24159.815915167364,24495.17578125,73979
2021-01-08 00:00:00+05:30,24453.880753705547,25452.708134651173,24453.880753705547,25289.9765625,76285
2021-01-11 00:00:00+05:30,25276.849420103852,25423.80784696492,24884.960281807667,25050.828125,58276
2021-01-12 00:00:00+05:30,25030.940030005437,25365.025534339537,24709.590923197273,24854.6875,47467
2021-01-13 00:00:00+05:30,25066.20918999706,25080.90503278971,24069.341187228954,24225.01953125,71497
2021-01-14 00:00:00+05:30,24299.082947936702,24408.664551674203,23978.71361788367,24351.595703125,34671
2021-01-15 00:00:00+05:30,24218.748175380442,24340.91884595378,23721.881363180088,23918.7578125,35232
2021-01-18 00:00:00+05:30,23905.23584981768,23905.23584981768,23131.254853040795,23363.3515625,41808
2021-01-19 00:00:00+05:30,23318.382868270375,23978.56870865694,23306.626194415527,23880.25390625,38386
2021-01-20 00:00:00+05:30,23973.815058218395,23973.815058218395,23352.328330902936,23493.701171875,48477
2021-01-21 00:00:00+05:30,23586.83020098273,23807.07268722954,23123.421242101533,23238.048828125,51819
2021-01-22 00:00:00+05:30,23316.41994869217,23652.464826308937,23133.651918212672,23213.84375,52209
2021-01-25 00:00:00+05:30,23562.33223058274,23562.33223058274,22691.163523249594,22784.08984375,55464
2021-01-27 00:00:00+05:30,22798.150808177583,22925.074669297253,22283.99148908919,22357.470703125,62620
2021-01-28 00:00:00+05:30,22283.7929982403,22719.62226228341,22210.950997589058,22637.767578125,41756
2021-01-29 00:00:00+05:30,22778.5535836116,22822.20099685439,22074.1329373055,22311.568359375,58005
2021-02-01 00:00:00+05:30,22631.594556339194,24189.7937719754,22251.41239406557,24045.921875,112280
2021-02-02 00:00:00+05:30,24045.925576366408,26109.614189003765,23709.832797742256,25896.57421875,188876
2021-02-03 00:00:00+05:30,25864.681824127838,26040.052204677795,25209.29702490558,25467.306640625,110699
2021-02-04 00:00:00+05:30,25462.997011230666,26775.09084529341,25088.35060863052,26541.671875,135104
2021-02-05 00:00:00+05:30,26562.73770018767,26733.649598377026,26074.39557553964,26180.98828125,63260
2021-02-08 00:00:00+05:30,26361.54761396254,27713.90754146092,26207.633551248677,27453.986328125,183938
2021-02-09 00:00:00+05:30,26805.315808432355,28019.192466807806,26805.315808432355,27594.6796875,137375
2021-02-10 00:00:00+05:30,27672.273664264412,28016.156406560636,27288.272034108824,27720.03515625,86564
2021-02-11 00:00:00+05:30,27694.80292250054,27922.09860235126,27442.279381631906,27769.45703125,54109
2021-02-12 00:00:00+05:30,27628.183732740443,27897.607510276033,27236.294601779584,27398.78125,57620
2021-02-15 00:00:00+05:30,27613.437237002396,28255.205419542286,27531.532794010574,28072.2421875,61303
2021-02-16 00:00:00+05:30,28072.24644058419,28500.14043630632,27849.701991186652,28017.529296875,70319
2021-02-17 00:00:00+05:30,27990.09390521217,28255.646631149182,27579.24751764248,27695.294921875,41156
2021-02-18 00:00:00+05:30,28000.47880122929,28000.47880122929,26803.84494029477,27063.2265625,63910
2021-02-19 00:00:00+05:30,27089.28700306383,27292.579494079473,26210.867880010832,26983.966796875,50262
2021-02-22 00:00:00+05:30,27055.04354272354,27187.306113003015,26381.77883927227,26541.521484375,28369
2021-02-23 00:00:00+05:30,26614.167805318208,26973.775796676964,26227.17732922394,26707.583984375,46471
2021-02-24 00:00:00+05:30,26759.41612549847,27285.23263319203,25962.65648817733,26994.3046875,17368
2021-02-25 00:00:00+05:30,26994.304714717564,27314.576509291346,26685.986687482015,26894.275390625,52154
2021-02-26 00:00:00+05:30,26894.274390694587,27158.407288595143,25639.249418681444,25964.3203125,76766
2021-03-01 00:00:00+05:30,26061.117293135932,27268.135826815505,26061.117293135932,27145.130859375,58805
2021-03-02 00:00:00+05:30,27148.12095375559,27236.296012789804,26726.889867700098,27097.91015625,39347
2021-03-03 00:00:00+05:30,27192.6943102763,27588.55204587319,26992.09608073516,27133.666015625,40649
2021-03-04 00:00:00+05:30,26893.391507897984,28265.00346094196,26780.773134733292,28095.119140625,83170
2021-03-05 00:00:00+05:30,27726.651277137968,28308.94927031278,27178.446496884302,27283.9140625,65557
2021-03-08 00:00:00+05:30,27334.2685181553,27909.316100658307,26543.827328357987,26633.81640625,57156
2021-03-09 00:00:00+05:30,26888.492475829917,27412.644178310115,26601.2863518508,26759.31640625,59204
2021-03-10 00:00:00+05:30,26980.4911285488,27132.298425229503,26746.434946986123,26997.048828125,29812
2021-03-12 00:00:00+05:30,27312.714054575114,27412.64578689331,26982.54744877872,27139.79296875,43864
2021-03-15 00:00:00+05:30,27247.563976003974,27285.283308405178,26457.515031005347,27084.0,32587
2021-03-16 00:00:00+05:30,27329.368607938868,27381.53884914241,26796.4969728289,26874.58203125,38175
2021-03-17 00:00:00+05:30,26874.871194866584,26991.360607561295,26169.275665916848,26297.912109375,38409
2021-03-18 00:00:00+05:30,26574.981992959336,26716.992052984213,25913.66907700551,26056.21875,38464
2021-03-19 00:00:00+05:30,25918.56634550476,26568.367484369097,25570.764755912845,26390.498046875,74153
2021-03-22 00:00:00+05:30,26354.546507192674,26662.326844738374,26078.264644180468,26407.94140625,45373
2021-03-23 00:00:00+05:30,26404.509496099778,27922.100131306583,26404.509496099778,27738.107421875,123156
2021-03-24 00:00:00+05:30,27600.756307177442,27814.973123452815,27157.823922365238,27239.533203125,63069
2021-03-25 00:00:00+05:30,27334.264459828628,27569.348166002168,26712.090768068476,27021.095703125,64357
2021-03-26 00:00:00+05:30,27246.776709251324,27745.700556150918,27111.91939367505,27546.08203125,74139
2021-03-30 00:00:00+05:30,27922.10253674086,28901.825432766855,27727.92222415702,28504.498046875,94570
2021-03-31 00:00:00+05:30,28504.494516740237,29058.57749737593,28172.90810905402,28867.923828125,82764
2021-04-01 00:00:00+05:30,28970.40499372758,29665.518363462103,28848.331907976688,29344.609375,52771
2021-04-05 00:00:00+05:30,29293.711945321702,30007.34242103503,29048.78124343774,29742.669921875,124392
2021-04-06 00:00:00+05:30,29759.08077053815,29881.546123503325,29401.824460163905,29503.470703125,52886
2021-04-07 00:00:00+05:30,29528.845946332018,29960.609029913227,29345.637778051856,29617.658203125,40554
2021-04-08 00:00:00+05:30,29646.411463671368,31398.155802635163,29646.411463671368,30942.2421875,148094
2021-04-09 00:00:00+05:30,31039.968434497576,31341.33076966613,30488.9719772432,31104.97265625,146698
2021-04-12 00:00:00+05:30,30567.355173488006,30858.725153262636,29154.447378493813,29275.150390625,114698
2021-04-13 00:00:00+05:30,29587.629113789993,30077.392933381096,29499.454060139626,29740.515625,91665
